system:time_start,NNIRV,,,,,
18-Sep-20,546.144,,,,,
21-Sep-20,"1,263.33",,,,,
23-Sep-20,"1,383.68",,,,,
23-Sep-20,"1,161.13",,,,,
26-Sep-20,"1,121.13",,,,,
28-Sep-20,"1,438.27",,,,,
28-Sep-20,"1,060.63",,,,,
28-Sep-20,"1,285.31",,,,,
1-Oct-20,"1,249.13",,,,,
3-Oct-20,"1,405.53",,,,,
3-Oct-20,"1,093.76",,,,,
6-Oct-20,"1,188.84",,,,,
8-Oct-20,"1,474.31",,,,,
8-Oct-20,"1,284.90",,,,,
11-Oct-20,"1,187.85",,,,,
16-Oct-20,"1,073.89",,,,,
18-Oct-20,"1,477.41",,,,,
18-Oct-20,"1,193.92",,,,,
21-Oct-20,"1,167.65",,,,,
23-Oct-20,"1,384.20",,,,,
23-Oct-20,"1,233.34",,,,,
23-Oct-20,565.298,,,,,
23-Oct-20,"1,739.87",,,,,
26-Oct-20,"1,086.76",,,,,
12-Nov-20,"1,202.58",,,,,
12-Nov-20,974.954,,,,,
15-Nov-20,825.826,,,,,
27-Nov-20,"1,326.79",,,,,
2-Dec-20,"1,124.33",,,,,
2-Dec-20,978.772,,,,,
5-Dec-20,"1,064.96",,,,,
25-Dec-20,900.695,,,,,
27-Dec-20,"1,279.82",,,,,
